Instructions for case number 1:
1: Number 1 cannot be at (0,0); reason: discovered number 8 in its place; possiblities left: [8].
177: Number 7 cannot be at (3,0); reason: discovered number 4 in its place; possiblities left: [4].
178: Number 9 cannot be at (3,0); reason: discovered number 4 in its place; possiblities left: [4].
179: Number 4 cannot be at (3,1); reason: discovered the number 4 at the same row at position (3,0); possiblities left: [9].
180: Number 4 cannot be at (3,2); reason: discovered the number 4 at the same row at position (3,0); possiblities left: [6].
181: Number 4 cannot be at (3,3); reason: discovered the number 4 at the same row at position (3,0); possiblities left: [1].
182: Number 4 cannot be at (3,4); reason: discovered the number 4 at the same row at position (3,0); possiblities left: [8].
183: Number 4 cannot be at (3,5); reason: discovered the number 4 at the same row at position (3,0); possiblities left: [5].
184: Number 4 cannot be at (3,6); reason: discovered the number 4 at the same row at position (3,0); possiblities left: [3].
185: Number 4 cannot be at (3,7); reason: discovered the number 4 at the same row at position (3,0); possiblities left: [7].
186: Number 4 cannot be at (3,8); reason: discovered the number 4 at the same row at position (3,0); possiblities left: [2].
187: Number 4 cannot be at (0,0); reason: discovered the number 4 at the same column at position (3,0); possiblities left: [1].
188: Number 4 cannot be at (2,0); reason: discovered the number 4 at the same column at position (3,0); possiblities left: [6].
189: Number 4 cannot be at (4,0); reason: discovered the number 4 at the same column at position (3,0); possiblities left: [2].
190: Number 4 cannot be at (5,0); reason: discovered the number 4 at the same column at position (3,0); possiblities left: [7].
191: Number 4 cannot be at (6,0); reason: discovered the number 4 at the same column at position (3,0); possiblities left: [3].
192: Number 4 cannot be at (7,0); reason: discovered the number 4 at the same column at position (3,0); possiblities left: [9].
193: Number 4 cannot be at (8,0); reason: discovered the number 4 at the same column at position (3,0); possiblities left: [5].
194: Number 4 cannot be at (4,1); reason: discovered the number 4 at the same quadrant at position (3,0); possiblities left: [1].
195: Number 4 cannot be at (4,2); reason: discovered the number 4 at the same quadrant at position (3,0); possiblities left: [8].
196: Number 4 cannot be at (5,1); reason: discovered the number 4 at the same quadrant at position (3,0); possiblities left: [5].
197: Number 4 cannot be at (5,2); reason: discovered the number 4 at the same quadrant at position (3,0); possiblities left: [3].
198: Number 1 cannot be at (3,5); reason: discovered number 5 in its place; possiblities left: [5].
199: Number 2 cannot be at (3,5); reason: discovered number 5 in its place; possiblities left: [5].
200: Number 3 cannot be at (3,5); reason: discovered number 5 in its place; possiblities left: [5].
201: Number 6 cannot be at (3,5); reason: discovered number 5 in its place; possiblities left: [5].
202: Number 7 cannot be at (3,5); reason: discovered number 5 in its place; possiblities left: [5].
203: Number 8 cannot be at (3,5); reason: discovered number 5 in its place; possiblities left: [5].
204: Number 9 cannot be at (3,5); reason: discovered number 5 in its place; possiblities left: [5].
205: Number 5 cannot be at (3,1); reason: discovered the number 5 at the same row at position (3,5); possiblities left: [9].
206: Number 5 cannot be at (3,3); reason: discovered the number 5 at the same row at position (3,5); possiblities left: [1].
207: Number 5 cannot be at (3,4); reason: discovered the number 5 at the same row at position (3,5); possiblities left: [8].
208: Number 5 cannot be at (3,7); reason: discovered the number 5 at the same row at position (3,5); possiblities left: [7].
209: Number 5 cannot be at (3,8); reason: discovered the number 5 at the same row at position (3,5); possiblities left: [2].
210: Number 5 cannot be at (1,5); reason: discovered the number 5 at the same column at position (3,5); possiblities left: [4].
211: Number 5 cannot be at (4,5); reason: discovered the number 5 at the same column at position (3,5); possiblities left: [3].
212: Number 5 cannot be at (5,5); reason: discovered the number 5 at the same column at position (3,5); possiblities left: [6].
213: Number 5 cannot be at (6,5); reason: discovered the number 5 at the same column at position (3,5); possiblities left: [2].
214: Number 5 cannot be at (7,5); reason: discovered the number 5 at the same column at position (3,5); possiblities left: [1].
215: Number 5 cannot be at (8,5); reason: discovered the number 5 at the same column at position (3,5); possiblities left: [9].
216: Number 5 cannot be at (4,3); reason: discovered the number 5 at the same quadrant at position (3,5); possiblities left: [4].
217: Number 5 cannot be at (4,4); reason: discovered the number 5 at the same quadrant at position (3,5); possiblities left: [7].
218: Number 5 cannot be at (5,3); reason: discovered the number 5 at the same quadrant at position (3,5); possiblities left: [2].
219: Number 5 cannot be at (5,4); reason: discovered the number 5 at the same quadrant at position (3,5); possiblities left: [9].
220: Number 1 cannot be at (3,6); reason: discovered number 3 in its place; possiblities left: [3].
221: Number 2 cannot be at (3,6); reason: discovered number 3 in its place; possiblities left: [3].
222: Number 6 cannot be at (3,6); reason: discovered number 3 in its place; possiblities left: [3].
223: Number 7 cannot be at (3,6); reason: discovered number 3 in its place; possiblities left: [3].
224: Number 8 cannot be at (3,6); reason: discovered number 3 in its place; possiblities left: [3].
225: Number 9 cannot be at (3,6); reason: discovered number 3 in its place; possiblities left: [3].
226: Number 3 cannot be at (3,1); reason: discovered the number 3 at the same row at position (3,6); possiblities left: [9].
227: Number 3 cannot be at (3,2); reason: discovered the number 3 at the same row at position (3,6); possiblities left: [6].
228: Number 3 cannot be at (3,4); reason: discovered the number 3 at the same row at position (3,6); possiblities left: [8].
229: Number 3 cannot be at (3,7); reason: discovered the number 3 at the same row at position (3,6); possiblities left: [7].
230: Number 3 cannot be at (3,8); reason: discovered the number 3 at the same row at position (3,6); possiblities left: [2].
231: Number 3 cannot be at (1,6); reason: discovered the number 3 at the same column at position (3,6); possiblities left: [1].
232: Number 3 cannot be at (4,6); reason: discovered the number 3 at the same column at position (3,6); possiblities left: [9].
233: Number 3 cannot be at (5,6); reason: discovered the number 3 at the same column at position (3,6); possiblities left: [4].
234: Number 3 cannot be at (6,6); reason: discovered the number 3 at the same column at position (3,6); possiblities left: [8].
235: Number 3 cannot be at (7,6); reason: discovered the number 3 at the same column at position (3,6); possiblities left: [2].
236: Number 3 cannot be at (8,6); reason: discovered the number 3 at the same column at position (3,6); possiblities left: [7].
237: Number 3 cannot be at (4,7); reason: discovered the number 3 at the same quadrant at position (3,6); possiblities left: [5].
238: Number 3 cannot be at (4,8); reason: discovered the number 3 at the same quadrant at position (3,6); possiblities left: [6].
239: Number 3 cannot be at (5,7); reason: discovered the number 3 at the same quadrant at position (3,6); possiblities left: [8].
240: Number 3 cannot be at (5,8); reason: discovered the number 3 at the same quadrant at position (3,6); possiblities left: [1].
241: Number 2 cannot be at (4,1); reason: discovered number 1 in its place; possiblities left: [1].
242: Number 3 cannot be at (4,1); reason: discovered number 1 in its place; possiblities left: [1].
243: Number 5 cannot be at (4,1); reason: discovered number 1 in its place; possiblities left: [1].
244: Number 6 cannot be at (4,1); reason: discovered number 1 in its place; possiblities left: [1].
245: Number 8 cannot be at (4,1); reason: discovered number 1 in its place; possiblities left: [1].
246: Number 9 cannot be at (4,1); reason: discovered number 1 in its place; possiblities left: [1].
247: Number 1 cannot be at (4,0); reason: discovered the number 1 at the same row at position (4,1); possiblities left: [2].
248: Number 1 cannot be at (4,2); reason: discovered the number 1 at the same row at position (4,1); possiblities left: [8].
249: Number 1 cannot be at (4,3); reason: discovered the number 1 at the same row at position (4,1); possiblities left: [4].
250: Number 1 cannot be at (4,5); reason: discovered the number 1 at the same row at position (4,1); possiblities left: [3].
251: Number 1 cannot be at (4,6); reason: discovered the number 1 at the same row at position (4,1); possiblities left: [9].
252: Number 1 cannot be at (4,7); reason: discovered the number 1 at the same row at position (4,1); possiblities left: [5].
253: Number 1 cannot be at (4,8); reason: discovered the number 1 at the same row at position (4,1); possiblities left: [6].
254: Number 1 cannot be at (0,1); reason: discovered the number 1 at the same column at position (4,1); possiblities left: [4].
255: Number 1 cannot be at (1,1); reason: discovered the number 1 at the same column at position (4,1); possiblities left: [3].
256: Number 1 cannot be at (3,1); reason: discovered the number 1 at the same column at position (4,1); possiblities left: [9].
257: Number 1 cannot be at (5,1); reason: discovered the number 1 at the same column at position (4,1); possiblities left: [5].
258: Number 1 cannot be at (6,1); reason: discovered the number 1 at the same column at position (4,1); possiblities left: [6].
259: Number 1 cannot be at (7,1); reason: discovered the number 1 at the same column at position (4,1); possiblities left: [8].
260: Number 1 cannot be at (8,1); reason: discovered the number 1 at the same column at position (4,1); possiblities left: [2].
261: Number 1 cannot be at (3,2); reason: discovered the number 1 at the same quadrant at position (4,1); possiblities left: [6].
262: Number 1 cannot be at (5,0); reason: discovered the number 1 at the same quadrant at position (4,1); possiblities left: [7].
263: Number 1 cannot be at (5,2); reason: discovered the number 1 at the same quadrant at position (4,1); possiblities left: [3].
264: Number 2 cannot be at (4,4); reason: discovered number 7 in its place; possiblities left: [7].
265: Number 3 cannot be at (4,4); reason: discovered number 7 in its place; possiblities left: [7].
266: Number 4 cannot be at (4,4); reason: discovered number 7 in its place; possiblities left: [7].
267: Number 6 cannot be at (4,4); reason: discovered number 7 in its place; possiblities left: [7].
268: Number 8 cannot be at (4,4); reason: discovered number 7 in its place; possiblities left: [7].
269: Number 9 cannot be at (4,4); reason: discovered number 7 in its place; possiblities left: [7].
270: Number 7 cannot be at (4,0); reason: discovered the number 7 at the same row at position (4,4); possiblities left: [2].
271: Number 7 cannot be at (4,2); reason: discovered the number 7 at the same row at position (4,4); possiblities left: [8].
272: Number 7 cannot be at (4,3); reason: discovered the number 7 at the same row at position (4,4); possiblities left: [4].
273: Number 7 cannot be at (4,5); reason: discovered the number 7 at the same row at position (4,4); possiblities left: [3].
274: Number 7 cannot be at (4,6); reason: discovered the number 7 at the same row at position (4,4); possiblities left: [9].
275: Number 7 cannot be at (4,7); reason: discovered the number 7 at the same row at position (4,4); possiblities left: [5].
276: Number 7 cannot be at (4,8); reason: discovered the number 7 at the same row at position (4,4); possiblities left: [6].
277: Number 7 cannot be at (0,4); reason: discovered the number 7 at the same column at position (4,4); possiblities left: [2].
278: Number 7 cannot be at (1,4); reason: discovered the number 7 at the same column at position (4,4); possiblities left: [5].
279: Number 7 cannot be at (3,4); reason: discovered the number 7 at the same column at position (4,4); possiblities left: [8].
280: Number 7 cannot be at (5,4); reason: discovered the number 7 at the same column at position (4,4); possiblities left: [9].
281: Number 7 cannot be at (6,4); reason: discovered the number 7 at the same column at position (4,4); possiblities left: [4].
282: Number 7 cannot be at (7,4); reason: discovered the number 7 at the same column at position (4,4); possiblities left: [6].
283: Number 7 cannot be at (8,4); reason: discovered the number 7 at the same column at position (4,4); possiblities left: [3].
284: Number 7 cannot be at (3,3); reason: discovered the number 7 at the same quadrant at position (4,4); possiblities left: [1].
285: Number 7 cannot be at (5,3); reason: discovered the number 7 at the same quadrant at position (4,4); possiblities left: [2].
286: Number 7 cannot be at (5,5); reason: discovered the number 7 at the same quadrant at position (4,4); possiblities left: [6].
287: Number 2 cannot be at (4,8); reason: discovered number 6 in its place; possiblities left: [6].
288: Number 4 cannot be at (4,8); reason: discovered number 6 in its place; possiblities left: [6].
289: Number 5 cannot be at (4,8); reason: discovered number 6 in its place; possiblities left: [6].
290: Number 8 cannot be at (4,8); reason: discovered number 6 in its place; possiblities left: [6].
291: Number 9 cannot be at (4,8); reason: discovered number 6 in its place; possiblities left: [6].
292: Number 6 cannot be at (4,0); reason: discovered the number 6 at the same row at position (4,8); possiblities left: [2].
293: Number 6 cannot be at (4,2); reason: discovered the number 6 at the same row at position (4,8); possiblities left: [8].
294: Number 6 cannot be at (4,3); reason: discovered the number 6 at the same row at position (4,8); possiblities left: [4].
295: Number 6 cannot be at (4,5); reason: discovered the number 6 at the same row at position (4,8); possiblities left: [3].
296: Number 6 cannot be at (4,6); reason: discovered the number 6 at the same row at position (4,8); possiblities left: [9].
297: Number 6 cannot be at (4,7); reason: discovered the number 6 at the same row at position (4,8); possiblities left: [5].
298: Number 6 cannot be at (0,8); reason: discovered the number 6 at the same column at position (4,8); possiblities left: [8].
299: Number 6 cannot be at (1,8); reason: discovered the number 6 at the same column at position (4,8); possiblities left: [7].
300: Number 6 cannot be at (2,8); reason: discovered the number 6 at the same column at position (4,8); possiblities left: [3].
301: Number 6 cannot be at (3,8); reason: discovered the number 6 at the same column at position (4,8); possiblities left: [2].
302: Number 6 cannot be at (5,8); reason: discovered the number 6 at the same column at position (4,8); possiblities left: [1].
303: Number 6 cannot be at (6,8); reason: discovered the number 6 at the same column at position (4,8); possiblities left: [9].
304: Number 6 cannot be at (7,8); reason: discovered the number 6 at the same column at position (4,8); possiblities left: [5].
305: Number 6 cannot be at (8,8); reason: discovered the number 6 at the same column at position (4,8); possiblities left: [4].
306: Number 6 cannot be at (3,7); reason: discovered the number 6 at the same quadrant at position (4,8); possiblities left: [7].
307: Number 6 cannot be at (5,6); reason: discovered the number 6 at the same quadrant at position (4,8); possiblities left: [4].
308: Number 6 cannot be at (5,7); reason: discovered the number 6 at the same quadrant at position (4,8); possiblities left: [8].
309: Number 2 cannot be at (5,2); reason: discovered number 3 in its place; possiblities left: [3].
310: Number 6 cannot be at (5,2); reason: discovered number 3 in its place; possiblities left: [3].
311: Number 7 cannot be at (5,2); reason: discovered number 3 in its place; possiblities left: [3].
312: Number 8 cannot be at (5,2); reason: discovered number 3 in its place; possiblities left: [3].
313: Number 9 cannot be at (5,2); reason: discovered number 3 in its place; possiblities left: [3].
314: Number 3 cannot be at (5,0); reason: discovered the number 3 at the same row at position (5,2); possiblities left: [7].
315: Number 3 cannot be at (5,1); reason: discovered the number 3 at the same row at position (5,2); possiblities left: [5].
316: Number 3 cannot be at (5,4); reason: discovered the number 3 at the same row at position (5,2); possiblities left: [9].
317: Number 3 cannot be at (5,5); reason: discovered the number 3 at the same row at position (5,2); possiblities left: [6].
318: Discovered number 3 at position (4,5); reason: it is the last possibility for the quadrant; discoveries: 24.
319: Number 3 cannot be at (1,2); reason: discovered the number 3 at the same column at position (5,2); possiblities left: [9].
320: Number 3 cannot be at (2,2); reason: discovered the number 3 at the same column at position (5,2); possiblities left: [2].
321: Number 3 cannot be at (4,2); reason: discovered the number 3 at the same column at position (5,2); possiblities left: [8].
322: Number 3 cannot be at (6,2); reason: discovered the number 3 at the same column at position (5,2); possiblities left: [7].
323: Number 3 cannot be at (7,2); reason: discovered the number 3 at the same column at position (5,2); possiblities left: [4].
324: Number 3 cannot be at (8,2); reason: discovered the number 3 at the same column at position (5,2); possiblities left: [1].
325: Number 3 cannot be at (4,0); reason: discovered the number 3 at the same quadrant at position (5,2); possiblities left: [2].
326: Number 1 cannot be at (5,3); reason: discovered number 2 in its place; possiblities left: [2].
327: Number 4 cannot be at (5,3); reason: discovered number 2 in its place; possiblities left: [2].
328: Number 6 cannot be at (5,3); reason: discovered number 2 in its place; possiblities left: [2].
329: Number 8 cannot be at (5,3); reason: discovered number 2 in its place; possiblities left: [2].
330: Number 9 cannot be at (5,3); reason: discovered number 2 in its place; possiblities left: [2].
331: Number 2 cannot be at (5,0); reason: discovered the number 2 at the same row at position (5,3); possiblities left: [7].
332: Number 2 cannot be at (5,1); reason: discovered the number 2 at the same row at position (5,3); possiblities left: [5].
333: Number 2 cannot be at (5,4); reason: discovered the number 2 at the same row at position (5,3); possiblities left: [9].
334: Number 2 cannot be at (5,5); reason: discovered the number 2 at the same row at position (5,3); possiblities left: [6].
335: Number 2 cannot be at (5,6); reason: discovered the number 2 at the same row at position (5,3); possiblities left: [4].
336: Number 2 cannot be at (5,8); reason: discovered the number 2 at the same row at position (5,3); possiblities left: [1].
337: Number 2 cannot be at (2,3); reason: discovered the number 2 at the same column at position (5,3); possiblities left: [9].
338: Number 2 cannot be at (3,3); reason: discovered the number 2 at the same column at position (5,3); possiblities left: [1].
339: Number 2 cannot be at (4,3); reason: discovered the number 2 at the same column at position (5,3); possiblities left: [4].
340: Number 2 cannot be at (6,3); reason: discovered the number 2 at the same column at position (5,3); possiblities left: [5].
341: Number 2 cannot be at (7,3); reason: discovered the number 2 at the same column at position (5,3); possiblities left: [7].
342: Number 2 cannot be at (8,3); reason: discovered the number 2 at the same column at position (5,3); possiblities left: [8].
343: Number 2 cannot be at (3,4); reason: discovered the number 2 at the same quadrant at position (5,3); possiblities left: [8].
344: Number 2 cannot be at (4,5); reason: discovered the number 2 at the same quadrant at position (5,3); possiblities left: [3].
345: Number 1 cannot be at (5,7); reason: discovered number 8 in its place; possiblities left: [8].
346: Number 4 cannot be at (5,7); reason: discovered number 8 in its place; possiblities left: [8].
347: Number 5 cannot be at (5,7); reason: discovered number 8 in its place; possiblities left: [8].
348: Number 7 cannot be at (5,7); reason: discovered number 8 in its place; possiblities left: [8].
349: Number 9 cannot be at (5,7); reason: discovered number 8 in its place; possiblities left: [8].
350: Number 8 cannot be at (5,1); reason: discovered the number 8 at the same row at position (5,7); possiblities left: [5].
351: Number 8 cannot be at (5,4); reason: discovered the number 8 at the same row at position (5,7); possiblities left: [9].
352: Number 8 cannot be at (5,5); reason: discovered the number 8 at the same row at position (5,7); possiblities left: [6].
353: Number 8 cannot be at (5,6); reason: discovered the number 8 at the same row at position (5,7); possiblities left: [4].
354: Number 8 cannot be at (5,8); reason: discovered the number 8 at the same row at position (5,7); possiblities left: [1].
355: Number 8 cannot be at (0,7); reason: discovered the number 8 at the same column at position (5,7); possiblities left: [9].
356: Number 8 cannot be at (2,7); reason: discovered the number 8 at the same column at position (5,7); possiblities left: [4].
357: Number 8 cannot be at (3,7); reason: discovered the number 8 at the same column at position (5,7); possiblities left: [7].
358: Number 8 cannot be at (4,7); reason: discovered the number 8 at the same column at position (5,7); possiblities left: [5].
359: Number 8 cannot be at (6,7); reason: discovered the number 8 at the same column at position (5,7); possiblities left: [1].
360: Number 8 cannot be at (7,7); reason: discovered the number 8 at the same column at position (5,7); possiblities left: [3].
361: Number 8 cannot be at (8,7); reason: discovered the number 8 at the same column at position (5,7); possiblities left: [6].
362: Number 8 cannot be at (3,8); reason: discovered the number 8 at the same quadrant at position (5,7); possiblities left: [2].
363: Number 8 cannot be at (4,6); reason: discovered the number 8 at the same quadrant at position (5,7); possiblities left: [9].
364: Number 2 cannot be at (6,1); reason: discovered number 6 in its place; possiblities left: [6].
365: Number 3 cannot be at (6,1); reason: discovered number 6 in its place; possiblities left: [6].
366: Number 4 cannot be at (6,1); reason: discovered number 6 in its place; possiblities left: [6].
367: Number 5 cannot be at (6,1); reason: discovered number 6 in its place; possiblities left: [6].
368: Number 8 cannot be at (6,1); reason: discovered number 6 in its place; possiblities left: [6].
369: Number 9 cannot be at (6,1); reason: discovered number 6 in its place; possiblities left: [6].
370: Number 6 cannot be at (6,0); reason: discovered the number 6 at the same row at position (6,1); possiblities left: [3].
371: Number 6 cannot be at (6,2); reason: discovered the number 6 at the same row at position (6,1); possiblities left: [7].
372: Number 6 cannot be at (6,3); reason: discovered the number 6 at the same row at position (6,1); possiblities left: [5].
373: Number 6 cannot be at (6,4); reason: discovered the number 6 at the same row at position (6,1); possiblities left: [4].
374: Number 6 cannot be at (6,5); reason: discovered the number 6 at the same row at position (6,1); possiblities left: [2].
375: Number 6 cannot be at (6,6); reason: discovered the number 6 at the same row at position (6,1); possiblities left: [8].
376: Number 6 cannot be at (6,7); reason: discovered the number 6 at the same row at position (6,1); possiblities left: [1].
377: Number 6 cannot be at (0,1); reason: discovered the number 6 at the same column at position (6,1); possiblities left: [4].
378: Number 6 cannot be at (1,1); reason: discovered the number 6 at the same column at position (6,1); possiblities left: [3].
379: Number 6 cannot be at (3,1); reason: discovered the number 6 at the same column at position (6,1); possiblities left: [9].
380: Number 6 cannot be at (5,1); reason: discovered the number 6 at the same column at position (6,1); possiblities left: [5].
381: Number 6 cannot be at (7,1); reason: discovered the number 6 at the same column at position (6,1); possiblities left: [8].
382: Number 6 cannot be at (8,1); reason: discovered the number 6 at the same column at position (6,1); possiblities left: [2].
383: Number 6 cannot be at (7,0); reason: discovered the number 6 at the same quadrant at position (6,1); possiblities left: [9].
384: Number 6 cannot be at (7,2); reason: discovered the number 6 at the same quadrant at position (6,1); possiblities left: [4].
385: Number 6 cannot be at (8,0); reason: discovered the number 6 at the same quadrant at position (6,1); possiblities left: [5].
386: Number 6 cannot be at (8,2); reason: discovered the number 6 at the same quadrant at position (6,1); possiblities left: [1].
387: Number 1 cannot be at (6,3); reason: discovered number 5 in its place; possiblities left: [5].
388: Number 4 cannot be at (6,3); reason: discovered number 5 in its place; possiblities left: [5].
389: Number 7 cannot be at (6,3); reason: discovered number 5 in its place; possiblities left: [5].
390: Number 8 cannot be at (6,3); reason: discovered number 5 in its place; possiblities left: [5].
391: Number 9 cannot be at (6,3); reason: discovered number 5 in its place; possiblities left: [5].
392: Number 5 cannot be at (6,0); reason: discovered the number 5 at the same row at position (6,3); possiblities left: [3].
393: Number 5 cannot be at (6,4); reason: discovered the number 5 at the same row at position (6,3); possiblities left: [4].
394: Number 5 cannot be at (6,7); reason: discovered the number 5 at the same row at position (6,3); possiblities left: [1].
395: Number 5 cannot be at (6,8); reason: discovered the number 5 at the same row at position (6,3); possiblities left: [9].
396: Number 5 cannot be at (1,3); reason: discovered the number 5 at the same column at position (6,3); possiblities left: [6].
397: Discovered number 5 at position (1,4); reason: it is the last possibility for the row; discoveries: 25.
398: Number 5 cannot be at (7,3); reason: discovered the number 5 at the same column at position (6,3); possiblities left: [7].
399: Number 5 cannot be at (8,3); reason: discovered the number 5 at the same column at position (6,3); possiblities left: [8].
400: Number 5 cannot be at (7,4); reason: discovered the number 5 at the same quadrant at position (6,3); possiblities left: [6].
401: Number 5 cannot be at (8,4); reason: discovered the number 5 at the same quadrant at position (6,3); possiblities left: [3].
402: Number 1 cannot be at (6,8); reason: discovered number 9 in its place; possiblities left: [9].
403: Number 2 cannot be at (6,8); reason: discovered number 9 in its place; possiblities left: [9].
404: Number 3 cannot be at (6,8); reason: discovered number 9 in its place; possiblities left: [9].
405: Number 4 cannot be at (6,8); reason: discovered number 9 in its place; possiblities left: [9].
406: Number 7 cannot be at (6,8); reason: discovered number 9 in its place; possiblities left: [9].
407: Number 8 cannot be at (6,8); reason: discovered number 9 in its place; possiblities left: [9].
408: Number 9 cannot be at (6,0); reason: discovered the number 9 at the same row at position (6,8); possiblities left: [3].
409: Number 9 cannot be at (6,2); reason: discovered the number 9 at the same row at position (6,8); possiblities left: [7].
410: Number 9 cannot be at (6,4); reason: discovered the number 9 at the same row at position (6,8); possiblities left: [4].
411: Number 9 cannot be at (6,5); reason: discovered the number 9 at the same row at position (6,8); possiblities left: [2].
412: Number 9 cannot be at (6,6); reason: discovered the number 9 at the same row at position (6,8); possiblities left: [8].
413: Number 9 cannot be at (6,7); reason: discovered the number 9 at the same row at position (6,8); possiblities left: [1].
414: Number 9 cannot be at (0,8); reason: discovered the number 9 at the same column at position (6,8); possiblities left: [8].
415: Number 9 cannot be at (1,8); reason: discovered the number 9 at the same column at position (6,8); possiblities left: [7].
416: Number 9 cannot be at (2,8); reason: discovered the number 9 at the same column at position (6,8); possiblities left: [3].
417: Number 9 cannot be at (3,8); reason: discovered the number 9 at the same column at position (6,8); possiblities left: [2].
418: Number 9 cannot be at (5,8); reason: discovered the number 9 at the same column at position (6,8); possiblities left: [1].
419: Number 9 cannot be at (7,8); reason: discovered the number 9 at the same column at position (6,8); possiblities left: [5].
420: Number 9 cannot be at (8,8); reason: discovered the number 9 at the same column at position (6,8); possiblities left: [4].
421: Number 9 cannot be at (7,6); reason: discovered the number 9 at the same quadrant at position (6,8); possiblities left: [2].
422: Number 9 cannot be at (7,7); reason: discovered the number 9 at the same quadrant at position (6,8); possiblities left: [3].
423: Number 9 cannot be at (8,6); reason: discovered the number 9 at the same quadrant at position (6,8); possiblities left: [7].
424: Number 9 cannot be at (8,7); reason: discovered the number 9 at the same quadrant at position (6,8); possiblities left: [6].
425: Number 1 cannot be at (7,2); reason: discovered number 4 in its place; possiblities left: [4].
426: Number 2 cannot be at (7,2); reason: discovered number 4 in its place; possiblities left: [4].
427: Number 7 cannot be at (7,2); reason: discovered number 4 in its place; possiblities left: [4].
428: Number 8 cannot be at (7,2); reason: discovered number 4 in its place; possiblities left: [4].
429: Number 9 cannot be at (7,2); reason: discovered number 4 in its place; possiblities left: [4].
430: Number 4 cannot be at (7,1); reason: discovered the number 4 at the same row at position (7,2); possiblities left: [8].
431: Number 4 cannot be at (7,3); reason: discovered the number 4 at the same row at position (7,2); possiblities left: [7].
432: Number 4 cannot be at (7,4); reason: discovered the number 4 at the same row at position (7,2); possiblities left: [6].
433: Number 4 cannot be at (7,5); reason: discovered the number 4 at the same row at position (7,2); possiblities left: [1].
434: Number 4 cannot be at (7,6); reason: discovered the number 4 at the same row at position (7,2); possiblities left: [2].
435: Number 4 cannot be at (7,7); reason: discovered the number 4 at the same row at position (7,2); possiblities left: [3].
436: Number 4 cannot be at (7,8); reason: discovered the number 4 at the same row at position (7,2); possiblities left: [5].
437: Number 4 cannot be at (1,2); reason: discovered the number 4 at the same column at position (7,2); possiblities left: [9].
438: Number 4 cannot be at (2,2); reason: discovered the number 4 at the same column at position (7,2); possiblities left: [2].
439: Number 4 cannot be at (6,2); reason: discovered the number 4 at the same column at position (7,2); possiblities left: [7].
440: Number 4 cannot be at (8,2); reason: discovered the number 4 at the same column at position (7,2); possiblities left: [1].
441: Number 4 cannot be at (8,1); reason: discovered the number 4 at the same quadrant at position (7,2); possiblities left: [2].
442: Number 1 cannot be at (7,7); reason: discovered number 3 in its place; possiblities left: [3].
443: Number 5 cannot be at (7,7); reason: discovered number 3 in its place; possiblities left: [3].
444: Number 6 cannot be at (7,7); reason: discovered number 3 in its place; possiblities left: [3].
445: Number 7 cannot be at (7,7); reason: discovered number 3 in its place; possiblities left: [3].
446: Number 3 cannot be at (7,0); reason: discovered the number 3 at the same row at position (7,7); possiblities left: [9].
447: Number 3 cannot be at (7,1); reason: discovered the number 3 at the same row at position (7,7); possiblities left: [8].
448: Number 3 cannot be at (7,4); reason: discovered the number 3 at the same row at position (7,7); possiblities left: [6].
449: Number 3 cannot be at (7,5); reason: discovered the number 3 at the same row at position (7,7); possiblities left: [1].
450: Number 3 cannot be at (7,8); reason: discovered the number 3 at the same row at position (7,7); possiblities left: [5].
451: Number 3 cannot be at (2,7); reason: discovered the number 3 at the same column at position (7,7); possiblities left: [4].
452: Number 3 cannot be at (6,7); reason: discovered the number 3 at the same column at position (7,7); possiblities left: [1].
453: Number 3 cannot be at (8,7); reason: discovered the number 3 at the same column at position (7,7); possiblities left: [6].
454: Number 3 cannot be at (8,8); reason: discovered the number 3 at the same quadrant at position (7,7); possiblities left: [4].
455: Number 1 cannot be at (8,5); reason: discovered number 9 in its place; possiblities left: [9].
456: Number 2 cannot be at (8,5); reason: discovered number 9 in its place; possiblities left: [9].
457: Number 3 cannot be at (8,5); reason: discovered number 9 in its place; possiblities left: [9].
458: Number 4 cannot be at (8,5); reason: discovered number 9 in its place; possiblities left: [9].
459: Number 6 cannot be at (8,5); reason: discovered number 9 in its place; possiblities left: [9].
460: Number 7 cannot be at (8,5); reason: discovered number 9 in its place; possiblities left: [9].
461: Number 8 cannot be at (8,5); reason: discovered number 9 in its place; possiblities left: [9].
462: Number 9 cannot be at (8,0); reason: discovered the number 9 at the same row at position (8,5); possiblities left: [5].
463: Number 9 cannot be at (8,1); reason: discovered the number 9 at the same row at position (8,5); possiblities left: [2].
464: Number 9 cannot be at (8,2); reason: discovered the number 9 at the same row at position (8,5); possiblities left: [1].
465: Number 9 cannot be at (8,3); reason: discovered the number 9 at the same row at position (8,5); possiblities left: [8].
466: Number 9 cannot be at (8,4); reason: discovered the number 9 at the same row at position (8,5); possiblities left: [3].
467: Number 9 cannot be at (0,5); reason: discovered the number 9 at the same column at position (8,5); possiblities left: [7].
468: Number 9 cannot be at (1,5); reason: discovered the number 9 at the same column at position (8,5); possiblities left: [4].
469: Number 9 cannot be at (2,5); reason: discovered the number 9 at the same column at position (8,5); possiblities left: [8].
470: Number 9 cannot be at (4,5); reason: discovered the number 9 at the same column at position (8,5); possiblities left: [3].
471: Number 9 cannot be at (5,5); reason: discovered the number 9 at the same column at position (8,5); possiblities left: [6].
